Rank,SBScore,Rating,User,Subscribers,VideoViews
201,2193,B-plus,CiccioGamer89,1770824,570290290
93,4043,B-plus,Cinemassacre,2226470,984894134
237,8056,B-plus,CinnamonToastKen,2856326,513162610
105,999,A,Clash of Clans,7792882,928357945
289,549,A,Clash of Kings,57348,445511688
397,492,A,Clash Royale,1418438,345914181
116,8285,B-plus,cobanermani456,1169048,835033423
234,665,A,Coffi Channel,2087114,518762382
61,713,A,Coisa de Nerd,6303808,1421302466
295,5302,B-plus,consolesejogosbrasil,1448890,435336800
305,5764,B-plus,CooLifeGame,1129409,425496999
304,1270,A-minus,CoryxKenshin,1389168,426258697
356,2892,B-plus,Crainer,2258787,386196332
176,5244,B-plus,CriousGamers (Chilled Chaos),1320642,625866656
328,13547,B,Cryaotic,2665580,407155645
449,4145,B-plus,CRYSTAL,735586,314527914
197,8407,B-plus,CyprienGaming,4296067,577253931
391,5480,B-plus,CYRIL /SUPERKONAR,2137343,357139959
266,5536,B-plus,d7oomy_999 | ????????,2853228,469092419
308,12981109,C-and-D,DagelijksHaaDee,941564,421038254
160,2609,B-plus,Daithi De Nogla,5091758,642913756
470,2740,B-plus,DanAndPhilGAMES,2722713,306050585
31,258,A,DaniRep | +6 V’deos Diarios De GTAÉ,4622719,2230928206
348,1530,A-minus,DannyJesden,954411,390518934
1,40,A-plus,DanTDM,14360576,9411364395
74,1135,A-minus,DashieGames,3474189,1190394519
200,2260,B-plus,deathmule,660981,574298168
212,4119,B-plus,DeiGamer,2248934,546845795
204,229,A,Denis,1681185,564535147
422,12180,B,DidYouKnowGaming?,2094214,327398967
238,3185,B-plus,DILLERON ?,1659025,512365775
80,1447,A-minus,DILLERON ? Play,2477531,1092370822
202,1513,A-minus,DjMaRiiO,2158471,565807385
386,5932,B-plus,dlive22891,993854,361036895
106,2222,B-plus,Domtendo,759417,917305353
152,1680,A-minus,Dota Watafak,2179264,662699133
153,18161,B,DotaCinema,1400897,659763629
461,4004,B-plus,Draegast,1225545,308263165
